Title,Geographic,Industry,Profession,Ticker,Keyword,Competitor Ticker,Competitor Keyword,Broadcast Keyword,Finance Keyword,Bing Keyword,Blog Keyword,Twitter
TRANSDIGM ,United States,Industrials,"Asset Management,Debt,Equities,Investment Banking",NYSE:TDG,"NYSE:TDG,""TRANSDIGM ""","EPA:ZC,NASDAQ:BEAV,NYSE:TXT,NYSE:COL,EPA:SAF","ZODC.PA,$BEAV,$TXT,$COL,SAF.PA",TRANSDIGM ,NYSE:TDG,"NYSE:TDG,TRANSDIGM ","NYSE:TDG,TRANSDIGM ",$TDG
SENIOR,United Kingdom,Industrials,"Asset Management,Debt,Equities,Investment Banking",LON:SNR,"LON:SNR,""SENIOR""","NYSE:AIR,LON:COB,TSE:CAE","$AIR,COB.L,CAE.TO",SENIOR,LON:SNR,"LON:SNR,SENIOR","LON:SNR,SENIOR",SNR.L
TEXTRON,United States,Industrials,"Asset Management,Debt,Equities,Investment Banking",NYSE:TXT,"NYSE:TXT,""TEXTRON""","EPA:ZC,NASDAQ:BEAV,NYSE:TDG,NYSE:COL,EPA:SAF","ZODC.PA,$BEAV,$TDG,$COL,SAF.PA",TEXTRON,NYSE:TXT,"NYSE:TXT,TEXTRON","NYSE:TXT,TEXTRON",$TXT
CHINA EASTERN AIRLINES,Hong Kong,Consumer Services,"Asset Management,Debt,Equities,Investment Banking",HKG:0670,"HKG:0670,""CHINA EASTERN AIRLINES""","NYSE:DAL,BOM:500285,NSE:JETAIRWAYS,HKG:0293,TPE:2618","$DAL,SPJT.BO,JET.NS,0293.HK,2618.TW",CHINA EASTERN AIRLINES,HKG:0670,"HKG:0670,CHINA EASTERN AIRLINES","HKG:0670,CHINA EASTERN AIRLINES",0670.HK
DEUTSCHE LUFTHANSA,Germany,Consumer Services,"Asset Management,Debt,Equities,Investment Banking",ETR:LHA,"ETR:LHA,""DEUTSCHE LUFTHANSA""","LON:EZJ,ASX:QAN,NYSE:ALK,NYSE:LUV,NYSE:UAL","EZJ.L,QAN.AX,$ALK,$LUV,$UAL",DEUTSCHE LUFTHANSA,ETR:LHA,"ETR:LHA,DEUTSCHE LUFTHANSA","ETR:LHA,DEUTSCHE LUFTHANSA",LHAG.DE
QANTAS AIRWAYS,Australia,Consumer Services,"Asset Management,Debt,Equities,Investment Banking",ASX:QAN,"ASX:QAN,""QANTAS AIRWAYS""","NASDAQ:JBLU,LON:EZJ,NYSE:ALK,NYSE:LUV,NYSE:UAL","$JBLU,EZJ.L,$ALK,$LUV,$UAL",QANTAS AIRWAYS,ASX:QAN,"ASX:QAN,QANTAS AIRWAYS","ASX:QAN,QANTAS AIRWAYS",QAN.AX
CHINA AIRLINES,Taiwan,Consumer Services,"Asset Management,Debt,Equities,Investment Banking",TPE:2610,"TPE:2610,""CHINA AIRLINES""","NSE:JETAIRWAYS,HKG:0293,TPE:2618","JET.NS,0293.HK,2618.TW",CHINA AIRLINES,TPE:2610,"TPE:2610,CHINA AIRLINES","TPE:2610,CHINA AIRLINES",2610.TW
DELTA AIR LINES,United States,Consumer Services,"Asset Management,Debt,Equities,Investment Banking",NYSE:DAL,"NYSE:DAL,""DELTA AIR LINES""","NYSE:ALK,NYSE:LUV,NYSE:UAL,BOM:500285,NSE:JETAIRWAYS","$ALK,$LUV,$UAL,SPJT.BO,JET.NS",DELTA AIR LINES,NYSE:DAL,"NYSE:DAL,DELTA AIR LINES","NYSE:DAL,DELTA AIR LINES",$DAL
VIRGIN AUSTRALIA ,Australia,Consumer Services,"Asset Management,Debt,Equities,Investment Banking",ASX:VAH,"ASX:VAH,""VIRGIN AUSTRALIA ""","NASDAQ:SKYW,NZE:AIR,EPA:AF,NASDAQ:JBLU","$SKYW,AIR.NZ,AIRF.PA,$JBLU",VIRGIN AUSTRALIA ,ASX:VAH,"ASX:VAH,VIRGIN AUSTRALIA ","ASX:VAH,VIRGIN AUSTRALIA ",VAH.AX
CHINA SOUTHERN AIRLINES,Hong Kong,Consumer Services,"Asset Management,Debt,Equities,Investment Banking",HKG:1055,"HKG:1055,""CHINA SOUTHERN AIRLINES""","NYSE:DAL,BOM:500285,NSE:JETAIRWAYS,HKG:0293,TPE:2618","$DAL,SPJT.BO,JET.NS,0293.HK,2618.TW",CHINA SOUTHERN AIRLINES,HKG:1055,"HKG:1055,CHINA SOUTHERN AIRLINES","HKG:1055,CHINA SOUTHERN AIRLINES",1055.HK
