UNITED TECHNOLOGIES,$UTX,NYSE:UTX,NYSE:PCP EPA:EAD NYSE:BA ,$PCP EAD.PA $BA 
PRECISION CASTPARTS,$PCP,NYSE:PCP,EPA:SAF NYSE:GR EPA:EAD NYSE:BA NYSE:UTX ,SAF.PA $GR EAD.PA $BA $UTX 
TELEDYNE TECHNOLOGIES,TDY.N,NYSE:TDY,NYSE:AIR LON:SNR NYSE:HXL TSE:CAE LON:COB ,$AIR SNR.L $HXL CAE.TO COB.L 
MTU AERO ENGINES HOLDINGS,MTXGn.DE,ETR:MTX,NYSE:HXL TSE:CAE LON:COB NASDAQ:BEAV LON:MGGT ,$HXL CAE.TO COB.L $BEAV MGGT.L 
ROCKWELL COLLINS,$COL,NYSE:COL,EPA:ZC NYSE:TDG NYSE:TXT EPA:SAF NYSE:GR ,ZODC.PA $TDG $TXT SAF.PA $GR 
MEGGITT,MGGT.L,LON:MGGT,TSE:CAE LON:COB NASDAQ:BEAV EPA:ZC NYSE:TDG LON:SNR ,CAE.TO COB.L $BEAV ZODC.PA $TDG SNR.L 
ROLLS ROYCE HOLDING,RR.L,LON:RR,EPA:SAF NYSE:GR NYSE:PCP EPA:EAD NYSE:BA ,SAF.PA $GR $PCP EAD.PA $BA 
COBHAM,COB.L,LON:COB,NYSE:HXL TSE:CAE NASDAQ:BEAV LON:MGGT EPA:ZC LON:SNR ,$HXL CAE.TO $BEAV MGGT.L ZODC.PA SNR.L 
EADS,EAD.PA,EPA:EAD,EPA:SAF NYSE:GR NYSE:PCP NYSE:BA NYSE:UTX EPA:ZC ,SAF.PA $GR $PCP $BA $UTX ZODC.PA 
TRANSDIGM GROUP,$TDG,NYSE:TDG,LON:MGGT EPA:ZC NYSE:COL NYSE:TXT EPA:SAF ,MGGT.L ZODC.PA $COL $TXT SAF.PA 
SENIOR,SNR.L,LON:SNR,NYSE:AIR NYSE:HXL TSE:CAE LON:COB LON:MGGT ,$AIR $HXL CAE.TO COB.L MGGT.L 
TEXTRON,$TXT,NYSE:TXT,EPA:ZC NYSE:TDG NYSE:COL EPA:SAF NYSE:GR ,ZODC.PA $TDG $COL SAF.PA $GR 
CHINA EASTERN AIRLINES,0670.HK,HKG:0670,ASX:QAN NYSE:ALK LON:EZJ HKG:0293 NYSE:LUV ,QAN.AX $ALK EZJ.L 0293.HK $LUV 
DEUTSCHE LUFTHANSA,LHAG.DE,ETR:LHA,NYSE:ALK LON:EZJ HKG:0293 NYSE:LUV NYSE:UAL ,$ALK EZJ.L 0293.HK $LUV $UAL 
QANTAS AIRWAYS,QAN.AX,ASX:QAN,NASDAQ:JBLU TPE:2618 NYSE:ALK LON:EZJ HKG:0293 ,$JBLU 2618.TW $ALK EZJ.L 0293.HK 
CHINA AIRLINES,2610.TW,TPE:2610,NASDAQ:JBLU TPE:2618 ASX:QAN NYSE:ALK LON:EZJ ,$JBLU 2618.TW QAN.AX $ALK EZJ.L 
DELTA AIR LINES,$DAL,NYSE:DAL,HKG:0293 NYSE:LUV NYSE:UAL ,0293.HK $LUV $UAL 
VIRGIN AUSTRALIA HOLDINGS,VAH.AX,ASX:VAH,NASDAQ:SKYW NSE:JETAIRWAYS NZE:AIR EPA:AF NASDAQ:JBLU ,$SKYW JET.NS AIR.NZ AIRF.PA $JBLU 
CHINA SOUTHERN AIRLINES,1055.HK,HKG:1055,ASX:QAN NYSE:ALK LON:EZJ HKG:0293 NYSE:LUV ,QAN.AX $ALK EZJ.L 0293.HK $LUV 
SOUTHWEST AIRLINES,$LUV,NYSE:LUV,LON:EZJ HKG:0293 NYSE:UAL NYSE:DAL ,EZJ.L 0293.HK $UAL $DAL 
SPICEJET,SPJT.BO,BOM:500285,NASDAQ:SKYW NSE:JETAIRWAYS NZE:AIR ,$SKYW JET.NS AIR.NZ 
INTERNATIONAL CONSOLIDATED AIRLINES GRP,ICAG.L,LON:IAG,ASX:QAN NYSE:ALK LON:EZJ HKG:0293 NYSE:LUV ,QAN.AX $ALK EZJ.L 0293.HK $LUV 
CATHAY PACIFIC AIRWAYS,0293.HK,HKG:0293,NYSE:ALK LON:EZJ NYSE:LUV NYSE:UAL NYSE:DAL ,$ALK EZJ.L $LUV $UAL $DAL 
KINGFISHER AIRLINES,KING.NS,NSE:KFA,BOM:500285 NASDAQ:SKYW NSE:JETAIRWAYS ,SPJT.BO $SKYW JET.NS 
UNITED CONTINENTAL HOLDINGS,$UAL,NYSE:UAL,LON:EZJ HKG:0293 NYSE:LUV NYSE:DAL ,EZJ.L 0293.HK $LUV $DAL 
AIR CANADA,ACb.TO,TSE:AC.B,BOM:500285 NASDAQ:SKYW NSE:JETAIRWAYS ,SPJT.BO $SKYW JET.NS 
AIR CHINA,0753.HK,HKG:0753,NYSE:LUV NYSE:UAL NYSE:DAL ,$LUV $UAL $DAL 
