Id,Title,Category,Address,Autopopulate,Industry,Geography,Profession
4ed0d8cf7b3fc62cf5000bb2,Comdirect Podcast,Podcast,http://www.comdirect.de/inf/pod_mp3.rss ,,All Sectors,Germany,"Asset Management,Debt,Equities,Investment Banking"
5048a2abdb46675725005216,Corriere.it - Animali Menu,Podcast,http://static.video.corriereobjects.it/widget/content/playlist/xml/playlist_4422a9ea-7a13-11df-b10c-00144f02aabe_dateDesc.xml,,All Sectors,Italy,"Asset Management,Debt,Equities,Investment Banking"
5048a2acdb466757250052d6,Corriere.it - CINEMA NEWS,Podcast,http://static.video.corriereobjects.it/widget/content/playlist/xml/playlist_d5f6003e-7de1-11df-a575-00144f02aabe_dateDesc.xml,,All Sectors,Italy,
5048a2acdb466757250052e6,Corriere.it - CULTURA,Podcast,http://static.video.corriereobjects.it/widget/content/playlist/xml/playlist_e4984304-7de1-11df-a575-00144f02aabe_dateDesc.xml,,All Sectors,Italy,
5048a2abdb46675725005226,Corriere.it - MOTORI,Podcast,http://static.video.corriereobjects.it/widget/content/playlist/xml/playlist_6aa7ad1c-7de3-11df-a575-00144f02aabe_dateDesc.xml,,All Sectors,Italy,
5048a2abdb46675725005266,Corriere.it - NEWS DAL MONDO,Podcast,http://static.video.corriereobjects.it/widget/content/playlist/xml/playlist_9700b1ec-7de3-11df-a575-00144f02aabe_dateDesc.xml,,All Sectors,Italy,"Asset Management,Debt,Equities,Investment Banking"
5048a2abdb46675725005286,Corriere.it - NEWS ECONOMIA,Podcast,http://static.video.corriereobjects.it/widget/content/playlist/xml/playlist_9875b0d6-7de3-11df-a575-00144f02aabe_dateDesc.xml,,All Sectors,Italy,"Asset Management,Debt,Equities,Investment Banking"
5048a2abdb46675725005276,Corriere.it - NEWS ITALIA,Podcast,http://static.video.corriereobjects.it/widget/content/playlist/xml/playlist_97fa3b06-7de1-11df-a575-00144f02aabe_dateDesc.xml,,All Sectors,Italy,"Asset Management,Debt,Equities,Investment Banking"
5048a2abdb46675725005246,Corriere.it - OPINIONI LA BUONA NOVELLA,Podcast,http://static.video.corriereobjects.it/widget/content/playlist/xml/playlist_7f992c66-7de6-11df-a575-00144f02aabe_dateDesc.xml,,All Sectors,Italy,"Asset Management,Debt,Equities,Investment Banking"
5048a2abdb46675725005296,Corriere.it - OPINIONI SALUTE SOLO RUBRICHE,Podcast,http://static.video.corriereobjects.it/widget/content/playlist/xml/playlist_a3378fac-7de4-11df-a575-00144f02aabe_dateDesc.xml,,All Sectors,Italy,"Asset Management,Debt,Equities,Investment Banking"
5048a2abdb466757250051ef,Corriere.it - OPINIONI TELEVISIONI,Podcast,http://static.video.corriereobjects.it/widget/content/playlist/xml/playlist_0e48a8ea-7de4-11df-a575-00144f02aabe_dateDesc.xml,,All Sectors,Italy,
5048a2abdb466757250051ff,Corriere.it - OPINIONI TELEVISIONI,Podcast,http://static.video.corriereobjects.it/widget/content/playlist/xml/playlist_21f23bd6-7de4-11df-a575-00144f02aabe_dateDesc.xml,,All Sectors,Italy,
5048a2acdb466757250052c6,Corriere.it - OPINIONI TELEVISIONI,Podcast,http://static.video.corriereobjects.it/widget/content/playlist/xml/playlist_caec5e90-7de6-11df-a575-00144f02aabe_dateDesc.xml,,All Sectors,Italy,
5048a2abdb46675725005256,Corriere.it - OPINIONI TV USA,Podcast,http://static.video.corriereobjects.it/widget/content/playlist/xml/playlist_82f9fcb4-7de6-11df-a575-00144f02aabe_dateDesc.xml,,All Sectors,Italy,
5048a2abdb4667572500520f,Corriere.it - SCIENZE,Podcast,http://static.video.corriereobjects.it/widget/content/playlist/xml/playlist_3586d176-7de3-11df-a575-00144f02aabe_dateDesc.xml,Yes,Technology,Italy,"Asset Management,Debt,Equities,Investment Banking"
5048a2abdb466757250052b6,Corriere.it - SPETTACOLI,Podcast,http://static.video.corriereobjects.it/widget/content/playlist/xml/playlist_c60b88e2-7de1-11df-a575-00144f02aabe_dateDesc.xml,,All Sectors,Italy,
5048a2acdb466757250052f6,Corriere.it - SPETTACOLI,Podcast,http://static.video.corriereobjects.it/widget/content/playlist/xml/playlist_e5928aec-9986-11df-882f-00144f02aabe_dateDesc.xml,,All Sectors,Italy,
5048a2abdb466757250052a6,Corriere.it - SPORT NEWS,Podcast,http://static.video.corriereobjects.it/widget/content/playlist/xml/playlist_a7bd04a6-7de1-11df-a575-00144f02aabe_dateDesc.xml,,All Sectors,Italy,
5048a2abdb46675725005236,Corriere.it - VIAGGI,Podcast,http://static.video.corriereobjects.it/widget/content/playlist/xml/playlist_7a489e5c-7de3-11df-a575-00144f02aabe_dateDesc.xml,,All Sectors,Italy,
4ed0d8cf7b3fc62cf5000b77,Economic Times India Experts Podcasts,Podcast,http://economictimes.indiatimes.com/et-now/expert-views/rssfeedsvideo/4413767.cms,,All Sectors,India,"Asset Management,Debt,Equities,Investment Banking"
5048a2b6db46675725005e93,Forbes.com Billionaires,Podcast,http://www.forbes.com/video/static/xml/showRssFeeds/3.xml,,All Sectors,United States,"Asset Management,Debt,Equities,Investment Banking"
5048a2b8db46675725005faa,Forbes.com Booked,Podcast,http://www.forbes.com/video/static/xml/showRssFeeds/74.xml,,All Sectors,United States,
5048a2b7db46675725005f3a,Forbes.com Boost Your Business,Podcast,http://www.forbes.com/video/static/xml/showRssFeeds/61.xml,,All Sectors,United States,"Asset Management,Debt,Equities,Investment Banking"
5048a2b8db4667572500603a,Forbes.com BreakOut!,Podcast,http://www.forbes.com/video/static/xml/showRssFeeds/87.xml,,All Sectors,United States,"Asset Management,Debt,Equities,Investment Banking"
5048a2b7db46675725005f0a,Forbes.com Business,Podcast,http://www.forbes.com/video/static/xml/showRssFeeds/5.xml,,All Sectors,United States,"Asset Management,Debt,Equities,Investment Banking"
5048a2b7db46675725005f5a,Forbes.com Buzz,Podcast,http://www.forbes.com/video/static/xml/showRssFeeds/66.xml,,All Sectors,United States,"Asset Management,Debt,Equities,Investment Banking"
5048a2b7db46675725005f1a,Forbes.com Celebrities,Podcast,http://www.forbes.com/video/static/xml/showRssFeeds/54.xml,,All Sectors,United States,"Asset Management,Debt,Equities,Investment Banking"
5048a2b7db46675725005f8a,Forbes.com CEO Spotlight,Podcast,http://www.forbes.com/video/static/xml/showRssFeeds/7.xml,,All Sectors,United States,"Asset Management,Debt,Equities,Investment Banking"
5048a2b8db46675725005fca,Forbes.com CIO Network,Podcast,http://www.forbes.com/video/static/xml/showRssFeeds/77.xml,,All Sectors,United States,"Asset Management,Debt,Equities,Investment Banking"
5048a2b8db4667572500605a,Forbes.com CMO Network,Podcast,http://www.forbes.com/video/static/xml/showRssFeeds/89.xml,,All Sectors,United States,"Asset Management,Debt,Equities,Investment Banking"
5048a2b6db46675725005e53,Forbes.com Entrepreneurs,Podcast,http://www.forbes.com/video/static/xml/showRssFeeds/14.xml,,All Sectors,United States,"Asset Management,Debt,Equities,Investment Banking"
5048a2b8db4667572500600a,Forbes.com Financial Adviser Network,Podcast,http://www.forbes.com/video/static/xml/showRssFeeds/81.xml,,All Sectors,United States,"Asset Management,Debt,Equities,Investment Banking"
5048a2b8db4667572500602a,Forbes.com Forbes Classics,Podcast,http://www.forbes.com/video/static/xml/showRssFeeds/85.xml,,All Sectors,United States,"Asset Management,Debt,Equities,Investment Banking"
5048a2b7db46675725005f9a,Forbes.com Forbes.com Collector,Podcast,http://www.forbes.com/video/static/xml/showRssFeeds/70.xml,,All Sectors,United States,
5048a2b6db46675725005e73,Forbes.com ForbesLife,Podcast,http://www.forbes.com/video/static/xml/showRssFeeds/23.xml,,All Sectors,United States,
5048a2b7db46675725005f4a,Forbes.com ForbesWoman,Podcast,http://www.forbes.com/video/static/xml/showRssFeeds/62.xml,,All Sectors,United States,
5048a2b7db46675725005f7a,Forbes.com Guru Picks,Podcast,http://www.forbes.com/video/static/xml/showRssFeeds/68.xml,,All Sectors,United States,
5048a2b8db46675725005ffa,Forbes.com Intelligent Investing,Podcast,http://www.forbes.com/video/static/xml/showRssFeeds/80.xml,,All Sectors,United States,"Asset Management,Debt,Equities,Investment Banking"
5048a2b9db46675725006081,Forbes.com Intelligent Technology,Podcast,http://www.forbes.com/video/static/xml/showRssFeeds/93.xml,,Technology,United States,"Asset Management,Debt,Equities,Investment Banking"
5048a2b6db46675725005e83,Forbes.com Markets,Podcast,http://www.forbes.com/video/static/xml/showRssFeeds/25.xml,,All Sectors,United States,"Asset Management,Debt,Equities,Investment Banking"
5048a2b9db46675725006071,Forbes.com Most Promising Companies,Podcast,http://www.forbes.com/video/static/xml/showRssFeeds/92.xml,,All Sectors,United States,"Asset Management,Debt,Equities,Investment Banking"
5048a2b6db46675725005ea3,Forbes.com Notes On The News,Podcast,http://www.forbes.com/video/static/xml/showRssFeeds/32.xml,,All Sectors,United States,"Asset Management,Debt,Equities,Investment Banking"
5048a2b6db46675725005e63,Forbes.com Opinions & Leadership,Podcast,http://www.forbes.com/video/static/xml/showRssFeeds/22.xml,,All Sectors,United States,"Asset Management,Debt,Equities,Investment Banking"
5048a2b7db46675725005f2a,Forbes.com Personal Best,Podcast,http://www.forbes.com/video/static/xml/showRssFeeds/60.xml,,All Sectors,United States,
5048a2b6db46675725005eb3,Forbes.com Personal Finance,Podcast,http://www.forbes.com/video/static/xml/showRssFeeds/34.xml,,All Sectors,United States,"Asset Management,Debt,Equities,Investment Banking"
5048a2b7db46675725005ec3,Forbes.com Special Report,Podcast,http://www.forbes.com/video/static/xml/showRssFeeds/39.xml,,All Sectors,United States,"Asset Management,Debt,Equities,Investment Banking"
5048a2b7db46675725005ed3,Forbes.com SportsMoney,Podcast,http://www.forbes.com/video/static/xml/showRssFeeds/41.xml,,All Sectors,United States,"Asset Management,Debt,Equities,Investment Banking"
5048a2b8db4667572500604a,Forbes.com Star Currency,Podcast,http://www.forbes.com/video/static/xml/showRssFeeds/88.xml,,All Sectors,United States,"Asset Management,Debt,Equities,Investment Banking"
5048a2b7db46675725005ee3,Forbes.com Stock of The Week,Podcast,http://www.forbes.com/video/static/xml/showRssFeeds/42.xml,,All Sectors,United States,"Asset Management,Debt,Equities,Investment Banking"
5048a2b7db46675725005ef3,Forbes.com StreetTalk,Podcast,http://www.forbes.com/video/static/xml/showRssFeeds/43.xml,,All Sectors,United States,"Asset Management,Debt,Equities,Investment Banking"
5048a2b8db46675725005fea,Forbes.com TalkBack,Podcast,http://www.forbes.com/video/static/xml/showRssFeeds/79.xml,,All Sectors,United States,"Asset Management,Debt,Equities,Investment Banking"
5048a2b7db46675725005f03,Forbes.com Technology,Podcast,http://www.forbes.com/video/static/xml/showRssFeeds/44.xml,Yes,Technology,United States,"Asset Management,Debt,Equities,Investment Banking"
5048a2b8db4667572500606a,Forbes.com Technology: CEO Focus,Podcast,http://www.forbes.com/video/static/xml/showRssFeeds/90.xml,,Technology,United States,"Asset Management,Debt,Equities,Investment Banking"
5048a2b8db4667572500601a,Forbes.com Travel,Podcast,http://www.forbes.com/video/static/xml/showRssFeeds/84.xml,,All Sectors,United States,
5048a2b8db46675725005fba,Forbes.com Wines For The Weekend,Podcast,http://www.forbes.com/video/static/xml/showRssFeeds/76.xml,,All Sectors,United States,
5048a2b7db46675725005f6a,Forbes.com World Economic Forum,Podcast,http://www.forbes.com/video/static/xml/showRssFeeds/67.xml,,All Sectors,United States,"Asset Management,Debt,Equities,Investment Banking"
5048a2b8db46675725005fda,Forbes.com YES/ForbesSportsMoney,Podcast,http://www.forbes.com/video/static/xml/showRssFeeds/78.xml,,All Sectors,United States,
5048a2b6db46675725005e43,Forbes.com: Video Network,Podcast,http://www.forbes.com/video/index.xml,,All Sectors,United States,"Asset Management,Debt,Equities,Investment Banking"
5048a276db46675725001b3e,France 3 Videos,Podcast,http://feeds.feedburner.com/France3-VideosIntegrales,,All Sectors,France,"Asset Management,Debt,Equities,Investment Banking"
5048a277db46675725001bdf,France Television,Podcast,http://feeds.feedburner.com/TousLesDocumentairesDeFranceTelevisionsEnVideoaLaDemande,,All Sectors,France,"Asset Management,Debt,Equities,Investment Banking"
4ed0d8cf7b3fc62cf5000bae,FT Deutschland: Business English,Podcast,http://www.ftd.de/englishpodcast.php,,All Sectors,Germany,
4ed0d8cf7b3fc62cf5000bad,FT Deutschland: Meinung,Podcast,http://www.ftd.de/podcast_meinung.php,,All Sectors,Germany,"Asset Management,Debt,Equities,Investment Banking"
4ed0d8cf7b3fc62cf5000bac,FT Deutschland: Nachrichten,Podcast,http://www.ftd.de/podcast.php,,All Sectors,Germany,"Asset Management,Debt,Equities,Investment Banking"
5048a2a8db46675725004df2,FT: Arts Podcast,Podcast,http://podcast.ft.com/rss/47/,,All Sectors,United Kingdom,
5048a2afdb4667572500561c,FT: Arts Video,Podcast,http://video.ft.com/services/rss/ft-arts,,All Sectors,United Kingdom,
5048a2afdb466757250055a4,FT: Authers Note,Podcast,http://video.ft.com/services/rss/authers-note,,All Sectors,United Kingdom,"Asset Management,Debt,Equities,Investment Banking"
5048a2a8db46675725004dbf,FT: Banking Weekly,Podcast,http://podcast.ft.com/rss/44/,,"Financials,Sovereigns & Public Finance","Australia,Belgium,Canada,France,Germany,Hong Kong,India,Italy,Japan,Netherlands,New Zealand,Portugal,Taiwan,United Kingdom,United States","Asset Management,Debt,Equities,Investment Banking"
5048a2afdb4667572500563a,FT: Business,Podcast,http://video.ft.com/services/rss/ft-business,,All Sectors,United Kingdom,"Asset Management,Debt,Equities,Investment Banking"
5048a2afdb466757250055c2,FT: Business School,Podcast,http://video.ft.com/services/rss/business-school,,All Sectors,United Kingdom,"Asset Management,Debt,Equities,Investment Banking"
5048a2afdb46675725005658,FT: Comment,Podcast,http://video.ft.com/services/rss/ft-comment,,All Sectors,United Kingdom,"Asset Management,Debt,Equities,Investment Banking"
5048a2afdb466757250055e0,FT: Companies,Podcast,http://video.ft.com/services/rss/companies,Yes,"All Sectors,Basic Materials,Consumer Gooods & Services,Financials,Health Care,Industrials,Oil & Gas,Sovereigns & Public Finance,Technology,Telecommunications,Utilities","Australia,Belgium,Canada,France,Germany,Hong Kong,India,Italy,Japan,Netherlands,New Zealand,Portugal,Taiwan,United Kingdom,United States","Asset Management,Debt,Equities,Investment Banking"
5048a2badb4667572500619a,FT: David Pilling,Podcast,http://www.ft.com/rss/comment/columnists/david-pilling,,All Sectors,United Kingdom,"Asset Management,Debt,Equities,Investment Banking"
